City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
340,Mecca,SA,75.67,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
344,Lamu,KE,79.02,broken clouds,-2.2717,40.902,Lamu House
347,Lampa,CL,84.96,clear sky,-33.2833,-70.9,El sueño de Lampa I y II
348,Redlands,US,84.36,clear sky,34.0556,-117.1825,Dynasty Suites Redlands
349,Gigmoto,PH,75.99,broken clouds,13.7796,124.39,Cj's Travellers Inn
351,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
352,Saint-Pierre,RE,80.28,clear sky,-21.3393,55.4781,Lindsey Hôtel
354,Sechura,PE,82.0,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
356,Sao Jose Da Coroa Grande,BR,82.53,clear sky,-8.8978,-35.1478,Crôa Mares Hotel
357,West Bay,KY,85.06,broken clouds,19.3667,-81.4167,Calypso Cove
366,Koumac,NC,79.18,overcast clouds,-20.5667,164.2833,Le Monitel
373,Morondava,MG,80.22,light rain,-20.2833,44.2833,La Case Bambou
375,Honiara,SB,78.57,overcast clouds,-9.4333,159.95,Heritage Park Hotel
377,Palembang,ID,78.89,light rain,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
379,Pisco,PE,78.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
381,Itabera,BR,82.42,clear sky,-23.8619,-49.1372,Rancho das Pedras Hotel
385,Dondo,MZ,80.11,clear sky,-19.6094,34.7431,Arco Iris
387,Kroya,ID,76.1,moderate rain,-7.6331,109.2461,RUSTANTO Fam
392,Sabang,ID,81.61,scattered clouds,5.8933,95.3214,Hotel Citra
396,Dzilam Gonzalez,MX,75.06,broken clouds,21.2833,-88.9333,posadas
398,Marsh Harbour,BS,75.51,heavy intensity rain,26.5412,-77.0636,Abaco Beach Resort
405,Ixtapa,MX,78.03,broken clouds,20.7,-105.2,Hotel Plaza Providencia
409,Lubao,PH,78.15,overcast clouds,14.9167,120.55,Hacienda Gracia
410,Quatre Cocos,MU,81.09,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
415,Port Hedland,AU,84.25,clear sky,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
418,Wamba,NG,79.74,clear sky,8.9333,8.6,Roma Zee Guest House Annex
431,Bella Union,UY,84.2,clear sky,-30.2752,-57.6007,Saville Free Shop
432,Belmonte,BR,82.4,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
445,Sena Madureira,BR,80.85,broken clouds,-9.0656,-68.6569,Hotel Central
449,Acarau,BR,82.47,clear sky,-2.8856,-40.12,castelo pizzaria
454,Kalmunai,LK,76.03,overcast clouds,7.4167,81.8167,VS Villa
460,Otukpo,NG,83.88,overcast clouds,7.1913,8.1329,Queen s Hotel
