City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
331,Petropavlovsk-Kamchatskiy,53.0452,158.6483,12.79,57,75,6.71,RU,2022-02-13 20:18:42,broken clouds
332,Kinshasa,-4.3246,15.3215,73.63,92,100,3.11,CD,2022-02-13 20:18:43,moderate rain
333,Laibin,23.7,109.2667,44.17,89,0,4.41,CN,2022-02-13 20:18:43,clear sky
334,Olafsvik,64.8945,-23.7142,29.8,93,100,10.89,IS,2022-02-13 20:18:44,snow
335,Kastamonu,41.5,33.6667,30.09,96,100,2.59,TR,2022-02-13 20:18:44,overcast clouds
336,Sisimiut,66.9395,-53.6735,3.65,90,100,28.25,GL,2022-02-13 20:18:45,light snow
337,Vanimo,-2.6741,141.3028,77.4,89,99,5.57,PG,2022-02-13 20:18:45,overcast clouds
338,Suoyarvi,62.0833,32.35,28.4,95,100,13.96,RU,2022-02-13 20:18:46,light snow
339,Saint-Georges,12.0564,-61.7485,79.54,67,33,14.65,GD,2022-02-13 20:18:46,scattered clouds
340,Mecca,21.4267,39.8261,75.67,38,0,2.46,SA,2022-02-13 20:18:43,clear sky
341,Port Macquarie,-31.4333,152.9167,64.89,79,99,2.04,AU,2022-02-13 20:18:47,overcast clouds
342,Estelle,29.8458,-90.1067,56.05,32,0,13.8,US,2022-02-13 20:18:47,clear sky
343,Manglaur,29.8,77.8667,52.65,67,0,3.83,IN,2022-02-13 20:18:47,clear sky
344,Lamu,-2.2717,40.902,79.02,86,66,12.82,KE,2022-02-13 20:18:48,broken clouds
345,Gaziantep,37.0594,37.3825,39.13,75,0,0.0,TR,2022-02-13 20:15:41,clear sky
346,Flin Flon,54.7682,-101.865,9.52,83,100,8.28,CA,2022-02-13 20:13:49,overcast clouds
347,Lampa,-33.2833,-70.9,84.96,33,0,19.57,CL,2022-02-13 20:17:05,clear sky
348,Redlands,34.0556,-117.1825,84.36,11,0,1.99,US,2022-02-13 20:16:26,clear sky
349,Gigmoto,13.7796,124.39,75.99,85,75,8.72,PH,2022-02-13 20:18:49,broken clouds
350,Constitucion,-35.3333,-72.4167,67.98,70,53,9.31,CL,2022-02-13 20:18:49,broken clouds
351,Bathsheba,13.2167,-59.5167,84.81,61,75,17.27,BB,2022-02-13 20:18:50,broken clouds
352,Saint-Pierre,-21.3393,55.4781,80.28,78,0,16.11,RE,2022-02-13 20:18:50,clear sky
353,Zambezi,-13.5432,23.1047,66.02,91,83,1.66,ZM,2022-02-13 20:18:51,light rain
354,Sechura,-5.5569,-80.8222,82.0,57,90,16.51,PE,2022-02-13 20:18:51,overcast clouds
355,Christchurch,-43.5333,172.6333,55.9,89,75,8.05,NZ,2022-02-13 20:16:23,broken clouds
356,Sao Jose Da Coroa Grande,-8.8978,-35.1478,82.53,71,8,13.85,BR,2022-02-13 20:18:52,clear sky
357,West Bay,19.3667,-81.4167,85.06,77,75,5.99,KY,2022-02-13 20:18:52,broken clouds
358,Marawi,7.9986,124.2928,63.64,91,100,2.95,PH,2022-02-13 20:18:53,overcast clouds
359,Ambilobe,-13.2,49.05,73.31,94,82,2.13,MG,2022-02-13 20:18:53,light rain
360,Tungor,53.3808,142.9564,-11.36,97,20,10.38,RU,2022-02-13 20:18:54,few clouds
